
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
77184,dog-walking,moderate,1,1,1,0,1,1,0,0,1,38,0.15,22,"2015-07-12 13:22:22.011914"
77185,boarding,strict,1,1,1,0,1,1,0,1,4,39,0.15,32,"2015-07-12 15:46:12.507251"
77186,day-care,strict,0,0,1,0,1,0,0,0,5,39,0.15,24,"2015-07-12 15:46:12.507251"
77187,boarding,strict,1,0,1,0,1,0,0,1,3,40,0.15,37,"2015-07-12 15:01:18.695587"
77188,boarding,strict,1,0,1,1,1,1,1,1,5,41,0.15,40,"2015-07-12 14:10:27.582980"
77189,dog-walking,strict,1,0,1,1,1,0,1,0,6,42,0.15,25,"2015-07-12 11:58:37.156809"
77190,day-care,strict,1,1,1,1,1,1,1,1,7,42,0.15,30,"2015-07-12 11:58:37.156809"
77191,boarding,flexible,1,0,1,0,1,1,0,1,2,43,0.15,35,"2015-07-12 14:19:04.815377"
77192,day-care,moderate,1,0,1,1,1,0,0,1,3,43,0.15,31,"2015-07-12 14:19:04.815377"
77193,boarding,strict,1,0,1,0,0,1,0,1,1,44,0.15,28,"2015-07-12 09:01:13.011834"
77194,day-care,moderate,1,0,1,1,1,1,1,1,3,44,0.15,26,"2015-07-12 09:01:13.011834"
77195,boarding,moderate,1,1,1,0,1,1,1,1,3,45,0.15,30,"2015-07-12 17:19:08.118964"
77196,boarding,flexible,1,0,0,1,1,1,1,1,3,46,0.15,32,"2015-07-12 09:24:56.795639"
77197,dog-walking,strict,1,0,0,1,1,1,1,0,3,46,0.15,17,"2015-07-12 09:24:56.795639"
77198,day-care,moderate,1,0,1,0,1,1,1,1,3,46,0.15,25,"2015-07-12 09:24:56.795639"
77199,day-care,flexible,1,0,1,0,0,1,1,1,2,47,0.15,27,"2015-07-12 10:10:02.358439"
77200,boarding,moderate,1,0,1,0,1,1,1,0,5,48,0.15,34,"2015-07-12 14:32:47.143900"
77201,dog-walking,moderate,1,0,1,0,1,1,0,0,6,48,0.15,21,"2015-07-12 14:32:47.143900"
77202,day-care,moderate,1,0,1,1,1,1,1,0,3,48,0.15,27,"2015-07-12 14:32:47.143900"
77203,boarding,strict,1,0,0,0,1,0,1,1,3,49,0.15,41,"2015-07-12 19:40:14.507037"
77204,day-care,strict,1,0,1,0,1,1,1,1,6,49,0.15,31,"2015-07-12 19:40:14.507037"
77205,boarding,strict,1,0,1,0,1,1,0,0,5,50,0.15,39,"2015-07-12 16:05:55.099478"
77206,dog-walking,strict,1,0,0,0,1,1,0,1,5,50,0.15,27,"2015-07-12 16:05:55.099478"
77207,day-care,moderate,1,0,1,0,1,1,0,1,6,50,0.15,26,"2015-07-12 16:05:55.099478"
77208,boarding,moderate,1,1,1,1,1,1,1,1,5,51,0.15,30,"2015-07-12 10:14:02.695029"
77209,dog-walking,flexible,1,0,1,1,1,1,0,1,3,52,0.15,19,"2015-07-12 13:36:53.062886"
77210,day-care,flexible,0,0,1,1,1,1,1,1,6,52,0.15,30,"2015-07-12 13:36:53.062886"
77211,dog-walking,flexible,1,1,1,0,1,1,1,1,4,53,0.15,18,"2015-07-12 07:47:34.510590"
77212,boarding,flexible,1,1,1,1,1,1,1,1,2,54,0.15,29,"2015-07-12 15:11:30.543504"
77213,dog-walking,moderate,1,1,1,1,1,1,0,1,6,54,0.15,24,"2015-07-12 15:11:30.543504"
77214,day-care,strict,1,0,1,1,1,0,1,1,4,54,0.15,26,"2015-07-12 15:11:30.543504"
77215,boarding,moderate,1,0,1,0,1,1,1,0,3,55,0.15,38,"2015-07-12 05:40:09.607622"
77216,dog-walking,flexible,1,0,0,0,1,1,0,1,1,55,0.15,23,"2015-07-12 05:40:09.607622"
77217,boarding,moderate,1,1,1,1,1,1,1,1,6,56,0.15,35,"2015-07-12 17:25:25.063342"
77218,day-care,moderate,1,0,1,0,1,0,1,1,4,57,0.15,27,"2015-07-12 17:57:11.016645"
77219,boarding,strict,1,0,1,1,1,0,1,1,4,58,0.15,39,"2015-07-12 18:31:19.079580"
77220,boarding,strict,1,0,1,0,0,1,0,1,5,59,0.15,34,"2015-07-12 12:15:27.932253"
77221,dog-walking,moderate,1,0,1,0,1,1,1,1,4,59,0.15,18,"2015-07-12 12:15:27.932253"
77222,day-care,moderate,1,0,1,0,1,1,0,1,3,59,0.15,32,"2015-07-12 12:15:27.932253"
77223,day-care,strict,1,0,1,0,1,0,0,0,3,60,0.15,27,"2015-07-12 15:24:56.898838"
77224,dog-walking,flexible,1,0,1,1,1,1,0,1,3,61,0.15,22,"2015-07-12 20:52:56.617627"
77225,boarding,flexible,1,0,1,1,1,1,1,1,2,62,0.15,33,"2015-07-12 14:43:47.093158"
77226,boarding,moderate,1,0,1,0,1,1,0,1,4,63,0.15,35,"2015-07-12 18:27:07.680137"
77227,dog-walking,moderate,1,0,1,0,1,1,1,1,4,64,0.15,21,"2015-07-12 13:51:43.200106"
77228,dog-walking,flexible,1,0,1,0,1,1,0,1,5,65,0.15,20,"2015-07-12 12:00:03.774701"
77229,boarding,flexible,1,0,1,0,1,1,0,1,4,66,0.15,37,"2015-07-12 11:29:17.060649"
77230,dog-walking,strict,0,0,1,1,1,1,1,1,4,66,0.15,23,"2015-07-12 11:29:17.060649"
77231,day-care,flexible,1,0,1,0,1,0,0,1,3,66,0.15,24,"2015-07-12 11:29:17.060649"
77232,day-care,strict,1,0,1,1,0,1,1,1,5,67,0.15,30,"2015-07-12 21:21:59.746124"
77233,boarding,strict,1,0,1,0,1,0,1,0,4,68,0.15,38,"2015-07-12 11:08:23.015187"
77234,dog-walking,flexible,1,0,1,0,1,0,1,1,5,68,0.15,26,"2015-07-12 11:08:23.015187"
77235,day-care,moderate,1,1,1,0,1,1,1,1,2,68,0.15,23,"2015-07-12 11:08:23.015187"
77236,dog-walking,flexible,1,0,1,0,1,1,1,1,4,69,0.15,20,"2015-07-12 17:38:55.219736"
77237,day-care,flexible,0,1,1,0,1,0,0,1,5,69,0.15,29,"2015-07-12 17:38:55.219736"
77238,boarding,flexible,0,0,1,0,1,0,0,0,4,70,0.15,33,"2015-07-12 13:52:21.988545"
77239,day-care,flexible,1,0,1,0,1,1,1,0,4,70,0.15,28,"2015-07-12 13:52:21.988545"
77240,dog-walking,strict,1,1,1,0,1,1,1,1,7,71,0.15,26,"2015-07-12 14:59:47.974328"
77241,day-care,moderate,0,0,0,0,1,1,0,1,1,71,0.15,27,"2015-07-12 14:59:47.974328"
77242,dog-walking,strict,1,0,1,0,1,0,1,1,6,72,0.15,19,"2015-07-12 05:14:12.241734"
77243,day-care,strict,1,1,1,1,1,1,1,1,6,72,0.15,26,"2015-07-12 05:14:12.241734"
77244,dog-walking,moderate,0,0,1,0,1,1,1,1,2,73,0.15,26,"2015-07-12 14:07:05.476956"
77245,boarding,flexible,1,0,1,1,0,0,1,1,3,74,0.15,38,"2015-07-12 12:26:32.459743"
77246,dog-walking,flexible,1,1,1,0,1,1,0,1,3,74,0.15,20,"2015-07-12 12:26:32.459743"
77247,day-care,flexible,1,1,1,0,1,1,1,1,2,75,0.15,22,"2015-07-12 08:58:28.810944"
77248,boarding,strict,1,1,1,0,1,1,1,1,2,76,0.15,33,"2015-07-12 12:48:49.877669"
77249,dog-walking,strict,1,0,1,0,1,1,1,0,7,76,0.15,23,"2015-07-12 12:48:49.877669"
77250,boarding,strict,1,0,1,1,1,1,0,1,3,77,0.15,36,"2015-07-12 11:19:37.412999"
77251,dog-walking,flexible,1,1,1,0,1,1,1,1,4,77,0.15,19,"2015-07-12 11:19:37.412999"
77252,day-care,flexible,1,0,1,0,1,0,1,0,2,77,0.15,29,"2015-07-12 11:19:37.412999"
77253,dog-walking,strict,1,0,0,0,1,1,0,1,4,78,0.15,25,"2015-07-12 11:58:15.563005"
77254,day-care,strict,1,0,1,0,1,1,1,0,4,78,0.15,26,"2015-07-12 11:58:15.563005"
77255,boarding,moderate,1,0,1,0,1,1,1,1,1,79,0.15,33,"2015-07-12 15:44:49.784247"
77256,dog-walking,flexible,1,0,1,0,1,1,0,1,4,79,0.15,23,"2015-07-12 15:44:49.784247"
77257,day-care,flexible,1,1,1,0,1,0,0,1,2,79,0.15,28,"2015-07-12 15:44:49.784247"
77258,boarding,moderate,1,1,1,0,1,1,0,1,2,80,0.15,33,"2015-07-12 15:30:59.604349"
77259,day-care,flexible,1,0,1,0,1,1,0,1,3,80,0.15,25,"2015-07-12 15:30:59.604349"
77260,boarding,flexible,1,0,1,1,1,1,0,1,4,81,0.15,38,"2015-07-12 15:46:50.978265"
77261,day-care,strict,0,0,1,1,1,1,1,1,6,81,0.15,29,"2015-07-12 15:46:50.978265"
77262,dog-walking,moderate,1,0,1,0,1,1,1,0,2,82,0.15,18,"2015-07-12 17:14:57.726592"
77263,day-care,strict,1,0,1,1,1,1,0,1,5,82,0.15,27,"2015-07-12 17:14:57.726592"
77264,boarding,moderate,1,1,1,0,1,1,0,0,3,83,0.15,29,"2015-07-12 13:24:10.577486"
77265,boarding,strict,1,0,1,1,1,1,1,1,2,84,0.15,29,"2015-07-12 12:19:41.250365"
77266,dog-walking,flexible,1,0,1,0,0,1,1,1,6,84,0.15,23,"2015-07-12 12:19:41.250365"
77267,dog-walking,moderate,1,0,1,0,1,0,0,1,3,85,0.15,23,"2015-07-12 15:20:04.382412"
77268,dog-walking,strict,1,0,1,1,1,0,1,0,2,86,0.15,26,"2015-07-12 14:14:15.412854"
77269,boarding,moderate,1,1,1,0,1,1,1,1,5,87,0.15,29,"2015-07-12 08:17:48.288514"
77270,dog-walking,moderate,1,1,1,0,0,1,0,1,3,87,0.15,25,"2015-07-12 08:17:48.288514"
77271,day-care,flexible,1,0,1,0,1,1,0,1,2,87,0.15,25,"2015-07-12 08:17:48.288514"
77272,boarding,flexible,1,0,0,0,1,1,1,1,2,88,0.15,38,"2015-07-12 14:36:59.071469"
77273,dog-walking,flexible,1,0,1,0,1,1,0,1,5,88,0.15,22,"2015-07-12 14:36:59.071469"
77274,day-care,flexible,1,0,1,1,1,0,0,0,6,88,0.15,28,"2015-07-12 14:36:59.071469"
77275,dog-walking,moderate,1,0,1,1,1,1,1,1,1,89,0.15,21,"2015-07-12 17:05:39.744818"
77276,day-care,flexible,1,1,1,0,1,1,0,1,2,90,0.15,22,"2015-07-12 10:40:02.104945"
77277,boarding,strict,1,0,1,0,1,1,1,1,5,91,0.15,29,"2015-07-12 14:24:52.729185"
77278,dog-walking,strict,1,0,1,1,1,1,0,1,3,91,0.15,20,"2015-07-12 14:24:52.729185"
77279,day-care,flexible,1,1,1,1,1,1,1,1,4,91,0.15,28,"2015-07-12 14:24:52.729185"
77280,boarding,moderate,1,0,1,0,1,1,0,1,6,92,0.15,34,"2015-07-12 08:01:04.104404"
77281,dog-walking,moderate,1,0,1,0,1,0,0,1,4,92,0.15,21,"2015-07-12 08:01:04.104404"
77282,day-care,flexible,1,0,1,1,1,1,1,1,3,92,0.15,24,"2015-07-12 08:01:04.104404"
77283,dog-walking,flexible,1,0,1,0,0,1,0,0,6,93,0.15,23,"2015-07-12 17:35:43.350623"
77284,day-care,moderate,1,0,1,0,1,1,1,1,4,93,0.15,29,"2015-07-12 17:35:43.350623"
77285,dog-walking,flexible,1,0,1,0,1,1,0,0,3,94,0.15,21,"2015-07-12 18:29:12.190511"
77286,day-care,strict,1,0,1,0,1,0,0,1,3,94,0.15,25,"2015-07-12 18:29:12.190511"
77287,boarding,flexible,1,0,1,0,1,1,0,1,8,95,0.15,40,"2015-07-12 11:44:18.455436"
77288,dog-walking,strict,1,0,1,0,1,1,0,0,4,95,0.15,20,"2015-07-12 11:44:18.455436"
77289,day-care,flexible,0,1,1,1,1,1,0,1,6,95,0.15,27,"2015-07-12 11:44:18.455436"
77290,dog-walking,strict,1,0,1,0,1,0,0,1,2,96,0.15,17,"2015-07-12 14:37:53.831629"
77291,boarding,moderate,0,0,1,0,1,1,1,1,1,97,0.15,37,"2015-07-12 09:33:39.505584"
77292,dog-walking,flexible,1,0,1,0,1,0,1,1,4,97,0.15,23,"2015-07-12 09:33:39.505584"
77293,boarding,strict,1,1,1,0,1,0,1,1,5,98,0.15,33,"2015-07-12 21:34:34.740438"
77294,dog-walking,flexible,1,1,1,0,0,1,1,1,1,98,0.15,22,"2015-07-12 21:34:34.740438"
77295,day-care,strict,1,0,1,1,1,0,0,1,4,99,0.15,25,"2015-07-12 12:10:57.478790"
77296,dog-walking,moderate,1,0,1,1,1,1,0,1,7,100,0.15,21,"2015-07-12 13:00:07.784888"
77297,boarding,moderate,1,0,1,0,1,1,0,0,4,101,0.2,35,"2017-03-02 03:53:34.338356"
77298,dog-walking,flexible,1,1,1,1,1,1,1,1,3,101,0.2,22,"2017-03-02 03:53:34.338356"
77299,day-care,flexible,1,1,1,0,1,1,0,1,3,101,0.2,31,"2017-03-02 03:53:34.338356"
77300,day-care,strict,1,0,1,0,1,1,0,1,2,102,0.2,30,"2016-12-27 16:41:09.232621"
77301,boarding,flexible,1,0,0,0,1,0,0,1,2,103,0.15,32,"2016-02-27 02:05:01.530136"
77302,boarding,moderate,1,0,1,0,0,1,1,1,3,104,0.2,32,"2016-12-29 07:33:39.517176"
77303,dog-walking,flexible,1,0,0,0,1,1,1,0,5,104,0.2,25,"2016-12-29 07:33:39.517176"
77304,day-care,strict,1,0,1,0,1,1,0,1,1,104,0.2,25,"2016-12-29 07:33:39.517176"
77305,boarding,moderate,1,0,1,1,1,1,1,0,2,105,0.2,35,"2016-07-27 20:05:34.148049"
77306,boarding,moderate,1,0,1,1,1,1,1,1,5,106,0.2,31,"2016-11-20 14:27:47.218158"
77307,boarding,moderate,1,0,1,0,1,1,1,1,4,107,0.2,31,"2017-03-20 10:13:24.111015"
77308,day-care,flexible,1,0,1,0,1,1,1,0,5,108,0.2,28,"2017-05-03 21:10:03.956132"
77309,boarding,strict,1,0,1,1,1,1,1,0,4,109,0.2,31,"2017-05-08 19:04:33.257611"
77310,dog-walking,flexible,1,0,1,0,1,1,0,1,3,109,0.2,19,"2017-05-08 19:04:33.257611"
77311,day-care,flexible,1,0,1,0,1,1,0,0,4,109,0.2,25,"2017-05-08 19:04:33.257611"
77312,boarding,moderate,1,0,1,0,0,0,0,1,2,110,0.2,31,"2016-07-25 16:54:17.162838"
77313,dog-walking,moderate,1,0,1,1,1,1,1,1,5,110,0.2,21,"2016-07-25 16:54:17.162838"
77314,day-care,flexible,1,0,0,0,1,1,0,1,3,110,0.2,28,"2016-07-25 16:54:17.162838"
77315,boarding,flexible,1,0,1,0,1,1,1,0,2,111,0.2,29,"2017-01-14 18:56:02.855393"
77316,dog-walking,flexible,0,0,1,0,1,1,0,0,3,111,0.2,22,"2017-01-14 18:56:02.855393"
77317,day-care,strict,1,0,1,1,1,1,0,0,5,112,0.2,25,"2017-05-20 22:38:19.369885"
77318,boarding,flexible,1,0,1,0,1,1,0,1,6,113,0.2,29,"2016-12-16 13:30:18.435171"
77319,day-care,flexible,1,0,1,1,1,1,1,1,5,113,0.2,26,"2016-12-16 13:30:18.435171"
77320,day-care,flexible,1,0,0,0,1,1,0,1,2,114,0.2,26,"2017-04-11 17:42:57.490780"
77321,day-care,moderate,1,0,1,0,0,1,1,0,5,115,0.2,30,"2016-12-31 20:03:58.996403"
77322,boarding,moderate,1,0,1,0,1,1,1,0,3,116,0.2,31,"2016-10-24 17:54:52.674483"
77323,boarding,flexible,1,0,1,1,1,1,0,1,4,117,0.2,34,"2017-06-07 14:39:00.118383"
77324,dog-walking,flexible,1,0,0,0,1,1,1,1,4,118,0.2,15,"2016-06-28 04:02:11.398757"
77325,dog-walking,moderate,0,1,0,0,1,1,0,1,4,119,0.2,18,"2016-12-24 21:53:39.576513"
77326,day-care,flexible,1,0,1,0,1,1,0,1,1,119,0.2,26,"2016-12-24 21:53:39.576513"
77327,boarding,strict,1,0,1,1,1,0,0,1,4,120,0.2,37,"2016-10-01 04:23:04.384443"
77328,dog-walking,flexible,1,0,1,0,1,1,1,1,3,120,0.2,25,"2016-10-01 04:23:04.384443"
77329,boarding,flexible,1,1,1,0,1,1,1,1,2,121,0.2,38,"2017-04-17 00:56:05.201717"
77330,dog-walking,flexible,1,0,1,0,1,1,0,1,3,122,0.2,22,"2017-02-04 08:31:11.104828"
77331,day-care,flexible,1,0,1,0,1,1,1,1,7,122,0.2,25,"2017-02-04 08:31:11.104828"
77332,boarding,strict,1,0,0,1,1,1,0,1,1,123,0.2,26,"2017-01-06 06:50:22.800700"
77333,dog-walking,strict,1,0,1,0,1,1,1,1,1,123,0.2,27,"2017-01-06 06:50:22.800700"
77334,day-care,flexible,1,0,1,1,1,0,1,1,6,123,0.2,24,"2017-01-06 06:50:22.800700"
77335,boarding,strict,1,0,1,0,1,1,1,1,5,124,0.2,31,"2017-04-19 15:34:24.984669"
77336,dog-walking,flexible,1,1,1,0,1,1,0,1,4,124,0.2,17,"2017-04-19 15:34:24.984669"
77337,boarding,flexible,1,0,1,0,1,1,1,1,4,125,0.2,36,"2016-08-06 19:43:17.421182"
77338,boarding,strict,1,0,1,0,1,1,0,1,4,126,0.2,38,"2017-05-07 20:49:05.096288"
77339,boarding,strict,1,0,1,0,1,1,0,1,3,127,0.15,31,"2016-03-04 06:16:05.505098"
77340,dog-walking,strict,0,0,1,0,0,1,1,0,8,127,0.15,17,"2016-03-04 06:16:05.505098"
77341,day-care,moderate,1,0,1,0,1,1,1,1,4,127,0.15,29,"2016-03-04 06:16:05.505098"
77342,boarding,strict,1,0,1,0,1,1,1,1,4,128,0.15,29,"2015-12-29 23:19:06.469754"
77343,dog-walking,moderate,1,0,1,0,1,1,1,0,2,128,0.15,20,"2015-12-29 23:19:06.469754"
77344,boarding,flexible,1,0,1,0,1,1,0,1,3,129,0.2,41,"2017-02-19 05:23:00.187263"
77345,dog-walking,strict,1,0,1,0,1,0,1,1,4,129,0.2,20,"2017-02-19 05:23:00.187263"
77346,boarding,moderate,1,1,1,0,1,1,1,1,2,130,0.2,36,"2016-09-18 19:30:36.110699"
77347,dog-walking,moderate,1,1,1,1,1,1,0,1,3,130,0.2,22,"2016-09-18 19:30:36.110699"
77348,day-care,flexible,1,0,1,0,0,1,1,1,2,130,0.2,27,"2016-09-18 19:30:36.110699"
77349,boarding,moderate,1,1,1,0,1,1,1,1,2,131,0.2,36,"2016-08-26 11:12:54.035158"
77350,dog-walking,moderate,1,1,1,0,0,1,0,1,4,131,0.2,19,"2016-08-26 11:12:54.035158"
77351,dog-walking,moderate,1,0,1,1,1,1,1,1,3,132,0.2,22,"2017-06-06 16:41:26.940166"
77352,day-care,flexible,1,0,1,1,1,0,1,1,4,132,0.2,24,"2017-06-06 16:41:26.940166"
77353,day-care,flexible,1,0,1,0,1,1,0,1,5,133,0.2,25,"2016-05-21 10:02:09.189354"
77354,boarding,strict,1,0,1,0,1,1,0,0,1,134,0.2,36,"2017-06-21 23:19:23.748698"
77355,dog-walking,moderate,0,0,1,0,1,0,1,1,6,134,0.2,20,"2017-06-21 23:19:23.748698"
77356,boarding,flexible,1,0,1,0,1,1,1,0,5,135,0.15,40,"2016-04-14 07:46:09.465934"
77357,boarding,moderate,1,0,1,1,1,1,1,1,4,136,0.2,31,"2017-03-27 00:17:19.966691"
77358,dog-walking,flexible,1,0,1,0,1,1,1,0,5,136,0.2,21,"2017-03-27 00:17:19.966691"
77359,boarding,moderate,1,0,1,0,1,1,0,1,3,137,0.2,39,"2016-05-04 03:33:05.065289"
77360,day-care,flexible,1,0,1,0,1,1,0,1,1,137,0.2,23,"2016-05-04 03:33:05.065289"
77361,dog-walking,moderate,1,0,1,1,1,0,1,1,3,138,0.2,21,"2017-06-10 02:06:15.655157"
77362,dog-walking,strict,1,0,1,0,1,0,1,1,2,139,0.2,23,"2016-06-28 04:32:22.401110"
77363,dog-walking,moderate,1,0,1,1,1,1,1,1,4,140,0.15,17,"2015-09-22 19:52:03.061180"
77364,dog-walking,flexible,1,0,1,1,1,0,0,1,6,141,0.2,28,"2017-05-03 09:40:12.799058"
77365,day-care,moderate,1,0,1,1,1,1,1,0,3,141,0.2,30,"2017-05-03 09:40:12.799058"
77366,dog-walking,strict,1,0,1,1,1,1,1,0,4,142,0.2,21,"2017-05-28 06:06:18.596499"
77367,boarding,moderate,1,0,1,1,1,1,0,1,1,143,0.2,42,"2016-07-22 14:58:06.210780"
77368,day-care,strict,1,0,1,0,1,1,0,1,4,143,0.2,24,"2016-07-22 14:58:06.210780"
77369,boarding,strict,1,0,1,0,1,1,0,1,2,144,0.2,27,"2017-05-26 15:22:47.678249"
77370,dog-walking,moderate,0,0,1,0,1,0,0,1,5,144,0.2,24,"2017-05-26 15:22:47.678249"
77371,day-care,flexible,1,0,1,0,1,1,1,0,1,144,0.2,21,"2017-05-26 15:22:47.678249"
77372,boarding,flexible,1,0,1,0,1,0,1,1,2,145,0.2,26,"2016-07-19 19:10:43.550382"
77373,day-care,moderate,1,0,1,1,1,1,1,1,4,145,0.2,23,"2016-07-19 19:10:43.550382"
77374,dog-walking,flexible,1,1,1,0,1,0,1,1,5,146,0.2,19,"2017-04-12 06:45:34.795734"
